# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:25
#
# 1 (TIME - s);1 (Z displacement - mm);# 10 (TIME - s);10 (Z displacement - mm);# 2 (TIME - s);2 (Z displacement - mm);# 3 (TIME - s);3 (Z displacement - mm);# 4 (TIME - s);4 (Z displacement - mm);# 5 (TIME - s);5 (Z displacement - mm);# 6 (TIME - s);6 (Z displacement - mm);# 7 (TIME - s);7 (Z displacement - mm);# 8 (TIME - s);8 (Z displacement - mm);# 9 (TIME - s);9 (Z displacement - mm)
34011.2867;-0.00967405997;34011.2867;-0.0131177265;34011.2867;-0.0100260982;34011.2867;-0.0120302931;34011.2867;-0.0144573282;34011.2867;-0.0149718947;34011.2867;-0.014636873;34011.2867;-0.0131062079;34011.2867;-0.0109243543;34011.2867;-0.0141528094
34022.7109;-0.00879336522;34022.7109;-0.0122878671;34022.7109;-0.00925568977;34022.7109;-0.0113689434;34022.7109;-0.0137432203;34022.7109;-0.0142066774;34022.7109;-0.0137192523;34022.7109;-0.0119560762;34022.7109;-0.00977077286;34022.7109;-0.0134786222
34604.3651;-0.00879017558;34604.3651;-0.0125675792;34604.3651;-0.00927649354;34604.3651;-0.0115339717;34604.3651;-0.0141847868;34604.3651;-0.0147625219;34604.3651;-0.014167844;34604.3651;-0.0121922569;34604.3651;-0.00981049954;34604.3651;-0.0138470342
34604.3654;-0.00920484824;34604.3654;-0.0129081897;34604.3654;-0.00963163412;34604.3654;-0.0118086524;34604.3654;-0.01442833;34604.3654;-0.0150097668;34604.3654;-0.0145190572;34604.3654;-0.0127045746;34604.3654;-0.0103622968;34604.3654;-0.0140845646
34604.5411;-0.00917743265;34604.5411;-0.0128622118;34604.5411;-0.00959927037;34604.5411;-0.0117658392;34604.5411;-0.0143720198;34604.5411;-0.0149467432;34604.5411;-0.0144655453;34604.5411;-0.012670589;34604.5411;-0.0103403877;34604.5411;-0.0140319721
34615.9654;-0.00864169916;34615.9654;-0.0123372783;34615.9654;-0.00916463716;34615.9654;-0.0114253517;34615.9654;-0.0139419802;34615.9654;-0.0144336481;34615.9654;-0.0138220417;34615.9654;-0.011853675;34615.9654;-0.00955907816;34615.9654;-0.0136576242
35170.2592;-0.00817969838;35170.2592;-0.0121375404;35170.2592;-0.00874303883;35170.2592;-0.0111549031;35170.2592;-0.0139092151;35170.2592;-0.0144871285;35170.2592;-0.0137554288;35170.2592;-0.0115674378;35170.2592;-0.00910040585;35170.2592;-0.0135691996
35170.2594;-0.00865859454;35170.2594;-0.0125747062;35170.2594;-0.00916368155;35170.2594;-0.0115049033;35170.2594;-0.0142639003;35170.2594;-0.0148719196;35170.2594;-0.0142296754;35170.2594;-0.0121679195;35170.2594;-0.00971154792;35170.2594;-0.0139035864
35170.4352;-0.00860976665;35170.4352;-0.0125001055;35170.4352;-0.00910955996;35170.4352;-0.011437249;35170.4352;-0.0141732427;35170.4352;-0.0147686593;35170.4352;-0.0141406357;35170.4352;-0.0121077991;35170.4352;-0.00967081143;35170.4352;-0.0138198431
35181.8594;-0.008026581;35181.8594;-0.0118862752;35181.8594;-0.00861502144;35181.8594;-0.0110170801;35181.8594;-0.0136264807;35181.8594;-0.0141085479;35181.8594;-0.013384437;35181.8594;-0.0112460763;35181.8594;-0.00888001347;35181.8594;-0.0133432617
35709.4547;-0.00764502824;35709.4547;-0.0117274535;35709.4547;-0.00828012057;35709.4547;-0.0108223906;35709.4547;-0.013621977;35709.4547;-0.0141646538;35709.4547;-0.0133244637;35709.4547;-0.0109810553;35709.4547;-0.00847319274;35709.4547;-0.0132994075
35709.455;-0.00807574943;35709.455;-0.0121615515;35709.455;-0.00865708765;35709.455;-0.0111485127;35709.455;-0.0140004174;35709.455;-0.0146015744;35709.455;-0.0138257323;35709.455;-0.0115616769;35709.455;-0.00902927398;35709.455;-0.01364174
35709.6307;-0.00805470558;35709.6307;-0.0121170377;35709.6307;-0.00862953721;35709.6307;-0.0111064927;35709.6307;-0.0139389992;35709.6307;-0.0145311927;35709.6307;-0.0137706085;35709.6307;-0.0115339385;35709.6307;-0.00901774744;35709.6307;-0.0135852034
35721.055;-0.00759367661;35721.055;-0.0115862822;35721.055;-0.00823878574;35721.055;-0.0107622548;35721.055;-0.013438662;35721.055;-0.0138998582;35721.055;-0.0130873903;35721.055;-0.0108158746;35721.055;-0.00839699168;35721.055;-0.0131627449
36216.0935;-0.00715764355;36216.0935;-0.0113339825;36216.0935;-0.00785440226;36216.0935;-0.0105072814;36216.0935;-0.0133266758;36216.0935;-0.013821547;36216.0935;-0.0128982292;36216.0935;-0.0104399206;36216.0935;-0.00791163496;36216.0935;-0.0130279832
36216.0938;-0.00755990837;36216.0938;-0.0117597498;36216.0938;-0.00821079251;36216.0938;-0.0108268768;36216.0938;-0.0137143641;36216.0938;-0.0142749858;36216.0938;-0.0133980651;36216.0938;-0.0109900214;36216.0938;-0.00842371263;36216.0938;-0.0133760064
36216.2696;-0.00755921679;36216.2696;-0.0117360076;36216.2696;-0.00820182404;36216.2696;-0.0108013123;36216.2696;-0.0136714609;36216.2696;-0.0142261438;36216.2696;-0.0133669768;36216.2696;-0.0109877803;36216.2696;-0.00843580694;36216.2696;-0.0133362988
36227.6938;-0.00721486659;36227.6938;-0.0113055047;36227.6938;-0.00791393868;36227.6938;-0.0105433405;36227.6938;-0.0132497595;36227.6938;-0.0136698547;36227.6938;-0.0127895043;36227.6938;-0.0104192146;36227.6938;-0.00797187652;36227.6938;-0.0129928351
36699.1406;-0.00678320856;36699.1406;-0.0110273852;36699.1406;-0.00753458358;36699.1406;-0.0102808771;36699.1406;-0.0130978765;36699.1406;-0.0135363132;36699.1406;-0.0125505393;36699.1406;-0.0100077352;36699.1406;-0.00747410738;36699.1406;-0.012827959
