# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:34:50
#
# 1 (TIME - s);1 (Equivalent stress - MPa);# 2 (TIME - s);2 (Equivalent stress - MPa);# 3 (TIME - s);3 (Equivalent stress - MPa);# 4 (TIME - s);4 (Equivalent stress - MPa);# 5 (TIME - s);5 (Equivalent stress - MPa);# 6 (TIME - s);6 (Equivalent stress - MPa);# 7 (TIME - s);7 (Equivalent stress - MPa);# 8 (TIME - s);8 (Equivalent stress - MPa);# 9 (TIME - s);9 (Equivalent stress - MPa)
30148.365;535.558262;30148.365;537.038977;30148.365;543.419269;30148.365;570.582268;30148.365;588.686034;30148.365;591.322474;30148.365;553.530053;30148.365;534.039159;30148.365;549.340797
30148.3651;534.412305;30148.3651;535.94474;30148.3651;542.388067;30148.3651;569.596409;30148.3651;587.678232;30148.3651;590.30205;30148.3651;552.536375;30148.3651;532.927418;30148.3651;548.317692
30148.5408;534.382375;30148.5408;535.918836;30148.5408;542.370434;30148.5408;569.578886;30148.5408;587.662853;30148.5408;590.290523;30148.5408;552.518126;30148.5408;532.899205;30148.5408;548.300131
30159.9651;537.321221;30159.9651;538.588477;30159.9651;544.603378;30159.9651;571.413087;30159.9651;589.219982;30159.9651;591.793528;30159.9651;554.557982;30159.9651;535.674;30159.9651;550.464314
30506.8096;536.015587;30506.8096;537.723951;30506.8096;544.444862;30506.8096;572.138466;30506.8096;590.538714;30506.8096;593.171826;30506.8096;554.823436;30506.8096;534.633575;30506.8096;550.474244
30506.8096;534.947951;30506.8096;536.697616;30506.8096;543.470075;30506.8096;571.203367;30506.8096;589.575832;30506.8096;592.198295;30506.8096;553.894296;30506.8096;533.599848;30506.8096;549.513528
30506.9854;535.154827;30506.9854;536.889536;30506.9854;543.640622;30506.9854;571.33806;30506.9854;589.696089;30506.9854;592.321576;30506.9854;554.034693;30506.9854;533.78903;30506.9854;549.674062
30518.4096;537.263422;30518.4096;538.801516;30518.4096;545.226935;30518.4096;572.636612;30518.4096;590.787147;30518.4096;593.365516;30518.4096;555.489645;30518.4096;535.782867;30518.4096;551.211981
30863.5211;536.403597;30863.5211;538.327498;30863.5211;545.37286;30863.5211;573.568339;30863.5211;592.241556;30863.5211;594.872064;30863.5211;556.00952;30863.5211;535.15213;30863.5211;551.508266
30863.5211;535.239144;30863.5211;537.212408;30863.5211;544.319212;30863.5211;572.570977;30863.5211;591.226016;30863.5211;593.84405;30863.5211;555.014847;30863.5211;534.030267;30863.5211;550.472245
