# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:19
#
# 1 (TIME - s);1 (Y displacement - mm);# 10 (TIME - s);10 (Y displacement - mm);# 2 (TIME - s);2 (Y displacement - mm);# 3 (TIME - s);3 (Y displacement - mm);# 4 (TIME - s);4 (Y displacement - mm);# 5 (TIME - s);5 (Y displacement - mm);# 6 (TIME - s);6 (Y displacement - mm);# 7 (TIME - s);7 (Y displacement - mm);# 8 (TIME - s);8 (Y displacement - mm);# 9 (TIME - s);9 (Y displacement - mm)
30796.7511;0.00590491609;30796.7511;0.00612293071;30796.7511;0.00899488039;30796.7511;0.0121923866;30796.7511;0.00787482524;30796.7511;0.00457216717;30796.7511;0.00211459725;30796.7511;-0.000226294665;30796.7511;0.00209984879;30796.7511;0.01020059
30796.9268;0.00545222706;30796.9268;0.00557818471;30796.9268;0.00849588319;30796.9268;0.011621716;30796.9268;0.00728723795;30796.9268;0.00401543763;30796.9268;0.00164659989;30796.9268;-0.000635096769;30796.9268;0.00168610395;30796.9268;0.00959718463
30808.3511;0.0051786829;30808.3511;0.00531798222;30808.3511;0.0083488157;30808.3511;0.0111417039;30808.3511;0.0069939093;30808.3511;0.00355994128;30808.3511;0.000957943124;30808.3511;-0.000907987075;30808.3511;0.00141030742;30808.3511;0.00921319015
31460.9216;0.00537053664;31460.9216;0.00554554276;31460.9216;0.00868117754;31460.9216;0.011628623;31460.9216;0.00732437813;31460.9216;0.00371312245;31460.9216;0.000940899268;31460.9216;-0.00102432907;31460.9216;0.00142666123;31460.9216;0.00964576951
31460.9218;0.00556835484;31460.9218;0.00582018578;31460.9218;0.00887883567;31460.9218;0.0118466189;31460.9218;0.00761913911;31460.9218;0.00405944783;31460.9218;0.00123179872;31460.9218;-0.000776953154;31460.9218;0.00165223772;31460.9218;0.00991052626
31461.0976;0.00540851275;31461.0976;0.00564831087;31461.0976;0.0086924671;31461.0976;0.0116268462;31461.0976;0.00742899413;31461.0976;0.0039103207;31461.0976;0.00112841686;31461.0976;-0.00084366263;31461.0976;0.00154864549;31461.0976;0.00969852027
31472.5218;0.00513705512;31472.5218;0.005222183;31472.5218;0.00835399436;31472.5218;0.0111755332;31472.5218;0.00690530525;31472.5218;0.00337096531;31472.5218;0.000749522592;31472.5218;-0.00110864024;31472.5218;0.00128718168;31472.5218;0.00918305929
32118.6644;0.00519827474;32118.6644;0.00530705602;32118.6644;0.00853860582;32118.6644;0.0114940056;32118.6644;0.00707708456;32118.6644;0.00338025377;32118.6644;0.000607430694;32118.6644;-0.00133597536;32118.6644;0.00118625124;32118.6644;0.00944823366
32118.6646;0.00531934816;32118.6646;0.00550517578;32118.6646;0.00867083753;32118.6646;0.0116604417;32118.6646;0.00731083002;32118.6646;0.00365236176;32118.6646;0.000833846594;32118.6646;-0.00115705888;32118.6646;0.00132995739;32118.6646;0.00966001562
32118.8404;0.00531772764;32118.8404;0.00550558146;32118.8404;0.00865363862;32118.8404;0.0116262402;32118.8404;0.0072982107;32118.8404;0.00366460964;32118.8404;0.000854849486;32118.8404;-0.00112280384;32118.8404;0.00135555467;32118.8404;0.0096332879
32130.2646;0.00506770442;32130.2646;0.00509881577;32130.2646;0.00832390814;32130.2646;0.011165964;32130.2646;0.0067762685;32130.2646;0.0031455866;32130.2646;0.000501753871;32130.2646;-0.00134801976;32130.2646;0.00113571941;32130.2646;0.00910916638
32765.7142;0.00513382669;32765.7142;0.00518065808;32765.7142;0.00850166378;32765.7142;0.0114635105;32765.7142;0.00693415156;32765.7142;0.003150813;32765.7142;0.000366496279;32765.7142;-0.00156045795;32765.7142;0.00104670352;32765.7142;0.00935453001
32765.7145;0.00522067805;32765.7145;0.00534389376;32765.7145;0.00860467551;32765.7145;0.0116069101;32765.7145;0.00714272705;32765.7145;0.00339368123;32765.7145;0.000568077519;32765.7145;-0.00140712177;32765.7145;0.00115593145;32765.7145;0.00954400289
32765.8902;0.00521817325;32765.8902;0.00534753197;32765.8902;0.00859412987;32765.8902;0.0115894144;32765.8902;0.00713938795;32765.8902;0.00340376565;32765.8902;0.000579586827;32765.8902;-0.00139129233;32765.8902;0.00116840749;32765.8902;0.00953260447
32777.3145;0.00503199675;32777.3145;0.00502122311;32777.3145;0.00832597433;32777.3145;0.0111908787;32777.3145;0.00669507337;32777.3145;0.00297675876;32777.3145;0.00029947064;32777.3145;-0.00155280693;32777.3145;0.00101688674;32777.3145;0.00907783625
33396.9116;0.00508416149;33396.9116;0.00507870658;33396.9116;0.00847570701;33396.9116;0.011442929;33396.9116;0.00681472558;33396.9116;0.00295555121;33396.9116;0.000153279748;33396.9116;-0.00176415951;33396.9116;0.000924729829;33396.9116;0.00927799464
33396.9119;0.00513984741;33396.9119;0.00520457147;33396.9119;0.00855063655;33396.9119;0.0115601068;33396.9119;0.00698875282;33396.9119;0.00315672706;33396.9119;0.000318219856;33396.9119;-0.00164375007;33396.9119;0.00100063758;33396.9119;0.00943725621
33397.0876;0.00518086593;33397.0876;0.00525573012;33397.0876;0.00858737756;33397.0876;0.0115952123;33397.0876;0.00703808223;33397.0876;0.00321738522;33397.0876;0.000377898764;33397.0876;-0.0015851479;33397.0876;0.00105313969;33397.0876;0.00947980562
33408.5119;0.00502596778;33408.5119;0.00498216734;33408.5119;0.00835476685;33408.5119;0.0112418134;33408.5119;0.0066531017;33408.5119;0.0028581653;33408.5119;0.000143551357;33408.5119;-0.00171679208;33408.5119;0.000932429251;33408.5119;0.009079512
