# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:28:52
#
# 1 (TIME - s);1 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm)
29062.6247;0.00374272988;29062.6247;0.00392821292;29062.6247;0.00427347357;29062.6247;0.00470215385;29062.6247;0.00464482858;29062.6247;0.00438096385;29062.6247;0.00413012174;29062.6247;0.00439123094
29062.6247;0.00373326635;29062.6247;0.00393499522;29062.6247;0.00430382252;29062.6247;0.00474405879;29062.6247;0.00467692335;29062.6247;0.00439625482;29062.6247;0.00413031532;29062.6247;0.00441139497
29062.8005;0.00366672812;29062.8005;0.00386812811;29062.8005;0.00423775523;29062.8005;0.00467807004;29062.8005;0.00461068204;29062.8005;0.00433027816;29062.8005;0.00406444571;29062.8005;0.00434523442
29074.2247;0.00371103028;29074.2247;0.0038929406;29074.2247;0.0042026976;29074.2247;0.00460621356;29074.2247;0.00454479584;29074.2247;0.00429685814;29074.2247;0.00406817903;29074.2247;0.00431824785
29426.2867;0.00372930849;29426.2867;0.00395075767;29426.2867;0.0043392876;29426.2867;0.00479279541;29426.2867;0.0047189052;29426.2867;0.00441778925;29426.2867;0.00413335529;29426.2867;0.00443773364
29426.2867;0.00369127438;29426.2867;0.00392932921;29426.2867;0.00434149061;29426.2867;0.00480661698;29426.2867;0.0047227892;29426.2867;0.00440457998;29426.2867;0.00410485721;29426.2867;0.00442957568
29426.4625;0.00365366808;29426.4625;0.00389151264;29426.4625;0.00430488605;29426.4625;0.00477050048;29426.4625;0.00468655272;29426.4625;0.00436827954;29426.4625;0.00406827009;29426.4625;0.00439295635
29437.8867;0.00359972102;29437.8867;0.00382156057;29437.8867;0.0041847447;29437.8867;0.00461897121;29437.8867;0.00453924224;29437.8867;0.0042483474;29437.8867;0.00397987631;29437.8867;0.00427892381
29788.2053;0.0036848794;29788.2053;0.00393945234;29788.2053;0.00436773672;29788.2053;0.00484397676;29788.2053;0.00475481941;29788.2053;0.00441954853;29788.2053;0.00410425426;29788.2053;0.0044483256
29788.2053;0.00364395894;29788.2053;0.00391609606;29788.2053;0.0043684513;29788.2053;0.00485648642;29788.2053;0.00475678746;29788.2053;0.00440364436;29788.2053;0.00407260316;29788.2053;0.00443806363
29788.3811;0.00361111106;29788.3811;0.00388345481;29788.3811;0.0043372548;29788.3811;0.00482583456;29788.3811;0.00472576374;29788.3811;0.00437225393;29788.3811;0.00404071075;29788.3811;0.00440654781
29799.8053;0.00349026342;29799.8053;0.00369753082;29799.8053;0.00403541081;29799.8053;0.0044532737;29799.8053;0.00437874529;29799.8053;0.00410682201;29799.8053;0.0038567419;29799.8053;0.00413516978
30148.365;0.00355544479;30148.365;0.00379848477;30148.365;0.00420254958;30148.365;0.00466262488;30148.365;0.00457563916;30148.365;0.00425676468;30148.365;0.00395900194;30148.365;0.00428628497
30148.3651;0.00352122248;30148.3651;0.00378079958;30148.3651;0.00420786576;30148.3651;0.00467949542;30148.3651;0.00458287684;30148.3651;0.00424692283;30148.3651;0.00393393802;30148.3651;0.00428151314
30148.5408;0.00348471016;30148.5408;0.00374467026;30148.5408;0.00417333793;30148.5408;0.00464563066;30148.5408;0.00454859276;30148.5408;0.00421208716;30148.5408;0.00389843648;30148.5408;0.00424659663
30159.9651;0.00341962748;30159.9651;0.00366902471;30159.9651;0.00406321162;30159.9651;0.00451341905;30159.9651;0.00441847362;30159.9651;0.00410087386;30159.9651;0.0038092304;30159.9651;0.00414000492
30506.8096;0.00349310978;30506.8096;0.00376710932;30506.8096;0.00420847997;30506.8096;0.00468952034;30506.8096;0.00458784951;30506.8096;0.00423729589;30506.8096;0.0039109839;30506.8096;0.00427527106
30506.8096;0.00346411046;30506.8096;0.0037557773;30506.8096;0.00422066409;30506.8096;0.00471336624;30506.8096;0.00460126532;30506.8096;0.00423280025;30506.8096;0.00389081202;30506.8096;0.00427656033
30506.9854;0.00354427509;30506.9854;0.00383692367;30506.9854;0.00430384145;30506.9854;0.00479755878;30506.9854;0.00468488525;30506.9854;0.00431523288;30506.9854;0.00397202934;30506.9854;0.00435909703
30518.4096;0.00341039194;30518.4096;0.00369453624;30518.4096;0.00413429098;30518.4096;0.00461051299;30518.4096;0.00449948016;30518.4096;0.00414494465;30518.4096;0.00381924977;30518.4096;0.00419239781
30863.5211;0.00344150372;30863.5211;0.00374707267;30863.5211;0.00422616298;30863.5211;0.0047281256;30863.5211;0.00461110129;30863.5211;0.00422844871;30863.5211;0.00387346432;30863.5211;0.0042754482
30863.5211;0.00341120525;30863.5211;0.00373393444;30863.5211;0.00423556733;30863.5211;0.00474874561;30863.5211;0.00462167473;30863.5211;0.00422167769;30863.5211;0.00385153616;30863.5211;0.00427432227
30863.6968;0.00339382214;30863.6968;0.00371708446;30863.6968;0.00422039803;30863.6968;0.00473436551;30863.6968;0.00460688111;30863.6968;0.00420613881;30863.6968;0.00383517056;30863.6968;0.0042587429
30875.1211;0.00333530547;30875.1211;0.00365214481;30875.1211;0.00413362639;30875.1211;0.00463319588;30875.1211;0.004506477;30875.1211;0.00411783533;30875.1211;0.00376106456;30875.1211;0.00417372186
31218.4531;0.00335514164;31218.4531;0.00369161292;31218.4531;0.00420862397;31218.4531;0.00473170322;31218.4531;0.00459978592;31218.4531;0.0041853964;31218.4531;0.00380178719;31218.4531;0.0042408206
31218.4531;0.00333548155;31218.4531;0.0036893548;31218.4531;0.00422849599;31218.4531;0.00476248501;31218.4531;0.00462034181;31218.4531;0.00418861677;31218.4531;0.00379000586;31218.4531;0.00424995569
31218.6289;0.00331739956;31218.6289;0.00367188372;31218.6289;0.0042126834;31218.6289;0.00474745683;31218.6289;0.00460486444;31218.6289;0.00417233777;31218.6289;0.00377287987;31218.6289;0.00423369578
31230.0531;0.00318448558;31230.0531;0.00348124864;31230.0531;0.00392984584;31230.0531;0.00440826722;31230.0531;0.00428884225;31230.0531;0.00392546497;31230.0531;0.00359304931;31230.0531;0.00397815843
31571.6417;0.00321789956;31571.6417;0.00353562515;31571.6417;0.00401988979;31571.6417;0.00452155575;31571.6417;0.00439499571;31571.6417;0.00400478992;31571.6417;0.00364562193;31571.6417;0.0040589424
31571.6417;0.00318687146;31571.6417;0.00352104116;31571.6417;0.0040263504;31571.6417;0.00453861488;31571.6417;0.0044026025;31571.6417;0.0039958513;31571.6417;0.00362226996;31571.6417;0.00405546602
31571.8174;0.00317592996;31571.8174;0.0035107425;31571.8174;0.00401763477;31571.8174;0.00453065272;31571.8174;0.00439421522;31571.8174;0.00398666719;31571.8174;0.00361223665;31571.8174;0.0040462989
31583.2417;0.00312606819;31583.2417;0.00345788678;31583.2417;0.00395266263;31583.2417;0.00445717556;31583.2417;0.00432032613;31583.2417;0.00391946298;31583.2417;0.00355316452;31583.2417;0.00398155393
31923.1871;0.00315489457;31923.1871;0.00349993696;31923.1871;0.00401774175;31923.1871;0.004537818;31923.1871;0.00439777572;31923.1871;0.00397971695;31923.1871;0.00359551046;31923.1871;0.00404151644
31923.1871;0.00310986945;31923.1871;0.0034727316;31923.1871;0.00401272249;31923.1871;0.00454392293;31923.1871;0.00439358471;31923.1871;0.00395774394;31923.1871;0.00355822845;31923.1871;0.00402568636
31923.3629;0.00310839285;31923.3629;0.00347133931;31923.3629;0.00401238373;31923.3629;0.00454420323;31923.3629;0.00439383046;31923.3629;0.00395759017;31923.3629;0.00355754931;31923.3629;0.00402532526
31934.7871;0.00304184167;31934.7871;0.00340293272;31934.7871;0.00393540305;31934.7871;0.00446093293;31934.7871;0.00430987963;31934.7871;0.00387839157;31934.7871;0.00348423668;31934.7871;0.00394814849
32272.9146;0.00308702861;32272.9146;0.00345955906;32272.9146;0.00401106562;32272.9146;0.00454952539;32272.9146;0.00439566363;32272.9146;0.00394957172;32272.9146;0.00354035434;32272.9146;0.00401934054
32272.9146;0.00307886126;32272.9146;0.00346860678;32272.9146;0.00404096743;32272.9146;0.00458966626;32272.9146;0.00442573077;32272.9146;0.00396278979;32272.9146;0.00353917427;32272.9146;0.00403864603
