# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:31:33
#
# 1 (TIME - s);1 (X displacement - mm);# 10 (TIME - s);10 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm);# 9 (TIME - s);9 (X displacement - mm)
34604.3651;-0.0655504479;34604.3651;-0.0810155986;34604.3651;-0.0681751364;34604.3651;-0.0737826934;34604.3651;-0.0841663408;34604.3651;-0.0855675415;34604.3651;-0.0809490947;34604.3651;-0.0733606246;34604.3651;-0.0698025018;34604.3651;-0.0742681533
34604.3654;-0.0652058081;34604.3654;-0.0806846436;34604.3654;-0.0678873663;34604.3654;-0.0735458549;34604.3654;-0.0839170756;34604.3654;-0.0852626339;34604.3654;-0.0805841773;34604.3654;-0.0729740357;34604.3654;-0.0694318464;34604.3654;-0.0739532303
34604.5411;-0.0650577046;34604.5411;-0.0805442737;34604.5411;-0.0677554202;34604.5411;-0.0734276257;34604.5411;-0.0837952753;34604.5411;-0.0851272039;34604.5411;-0.0804364499;34604.5411;-0.0728199767;34604.5411;-0.0692792619;34604.5411;-0.0738153165
34615.9654;-0.0647211263;34615.9654;-0.0802111741;34615.9654;-0.0673575612;34615.9654;-0.07297989;34615.9654;-0.0833738261;34615.9654;-0.0847693172;34615.9654;-0.0801503685;34615.9654;-0.0725545305;34615.9654;-0.0689872956;34615.9654;-0.0734541928
35170.2592;-0.0667950283;35170.2592;-0.0823137902;35170.2592;-0.0693716824;35170.2592;-0.0749529082;35170.2592;-0.0853899233;35170.2592;-0.0868508575;35170.2592;-0.0822823863;35170.2592;-0.074689121;35170.2592;-0.0710972473;35170.2592;-0.0755223138
35170.2594;-0.0665289555;35170.2594;-0.0820670023;35170.2594;-0.069158328;35170.2594;-0.0747870307;35170.2594;-0.0852155408;35170.2594;-0.0866283691;35170.2594;-0.0820068579;35170.2594;-0.0743905654;35170.2594;-0.0708101469;35170.2594;-0.0752866112
35170.4352;-0.0663764668;35170.4352;-0.0819170467;35170.4352;-0.0690190259;35170.4352;-0.0746586468;35170.4352;-0.0850825157;35170.4352;-0.0864826234;35170.4352;-0.081849873;35170.4352;-0.0742297992;35170.4352;-0.0706522681;35170.4352;-0.0751406199
35181.8594;-0.0660799827;35181.8594;-0.0816330699;35181.8594;-0.0686730532;35181.8594;-0.0742754646;35181.8594;-0.0847277341;35181.8594;-0.0861806888;35181.8594;-0.0816031841;35181.8594;-0.0739961107;35181.8594;-0.0703956212;35181.8594;-0.0748298288
35709.4547;-0.0679390281;35709.4547;-0.083496209;35709.4547;-0.0704696927;35709.4547;-0.0760244248;35709.4547;-0.0865064585;35709.4547;-0.0880196049;35709.4547;-0.083494662;35709.4547;-0.075901058;35709.4547;-0.0722827408;35709.4547;-0.076669269
35709.455;-0.0677299418;35709.455;-0.0833172638;35709.455;-0.0703109829;35709.455;-0.0759123437;35709.455;-0.086392004;35709.455;-0.0878639132;35709.455;-0.0832918964;35709.455;-0.0756721892;35709.455;-0.0720596449;35709.455;-0.0764947183
35709.6307;-0.0676114109;35709.6307;-0.0832009396;35709.6307;-0.0702027319;35709.6307;-0.0758126845;35709.6307;-0.0862889198;35709.6307;-0.0877510416;35709.6307;-0.0831703026;35709.6307;-0.0755475404;35709.6307;-0.0719371557;35709.6307;-0.0763813128
35721.055;-0.0673490047;35721.055;-0.0829575382;35721.055;-0.0699042516;35721.055;-0.0754904524;35721.055;-0.0859946822;35721.055;-0.0874964542;35721.055;-0.0829540519;35721.055;-0.0753372584;35721.055;-0.0717080594;35721.055;-0.0761140279
36216.0935;-0.0689884486;36216.0935;-0.0845821869;36216.0935;-0.0714797286;36216.0935;-0.0770136503;36216.0935;-0.0875379126;36216.0935;-0.0890955736;36216.0935;-0.0846056115;36216.0935;-0.0770098392;36216.0935;-0.0733686159;36216.0935;-0.0777233611
36216.0938;-0.0688421477;36216.0938;-0.0844632182;36216.0938;-0.0713759471;36216.0938;-0.076949125;36216.0938;-0.0874721133;36216.0938;-0.088996248;36216.0938;-0.0844675771;36216.0938;-0.076848831;36216.0938;-0.073211408;36216.0938;-0.077606929
36216.2696;-0.0687421433;36216.2696;-0.0843633423;36216.2696;-0.0712850123;36216.2696;-0.0768655909;36216.2696;-0.0873848198;36216.2696;-0.0888996809;36216.2696;-0.0843624024;36216.2696;-0.076741352;36216.2696;-0.0731067405;36216.2696;-0.0775105636
36227.6938;-0.0685108213;36227.6938;-0.0841591921;36227.6938;-0.0710341866;36227.6938;-0.0766061988;36227.6938;-0.0871505716;36227.6938;-0.0886902217;36227.6938;-0.0841770468;36227.6938;-0.0765551618;36227.6938;-0.072904039;36227.6938;-0.0772852501
36699.1406;-0.0700177207;36699.1406;-0.0856443815;36699.1406;-0.0724714615;36699.1406;-0.0779856515;36699.1406;-0.0885502752;36699.1406;-0.0901496606;36699.1406;-0.085690743;36699.1406;-0.0780926012;36699.1406;-0.0744309494;36699.1406;-0.0787560487
