# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:39:11
#
# 1 (TIME - s);1 (Temperature - ¢XC);# 2 (TIME - s);2 (Temperature - ¢XC);# 3 (TIME - s);3 (Temperature - ¢XC);# 4 (TIME - s);4 (Temperature - ¢XC);# 5 (TIME - s);5 (Temperature - ¢XC);# 6 (TIME - s);6 (Temperature - ¢XC);# 7 (TIME - s);7 (Temperature - ¢XC);# 8 (TIME - s);8 (Temperature - ¢XC);# 9 (TIME - s);9 (Temperature - ¢XC)
28697.4413;208.077076;28697.4413;208.112173;28697.4413;208.123985;28697.4413;208.11356;28697.4413;208.087833;28697.4413;208.073644;28697.4413;208.074489;28697.4413;208.106449;28697.4413;208.131661
28708.8656;207.560591;28708.8656;207.640516;28708.8656;207.810219;28708.8656;207.89054;28708.8656;207.7583;28708.8656;207.664819;28708.8656;207.608463;28708.8656;207.719447;28708.8656;207.761489
29062.6247;207.95522;29062.6247;207.994051;29062.6247;208.014902;29062.6247;208.008987;29062.6247;207.977038;29062.6247;207.958074;29062.6247;207.955591;29062.6247;207.99294;29062.6247;208.019773
29062.6247;207.955219;29062.6247;207.99405;29062.6247;208.014901;29062.6247;208.008986;29062.6247;207.977037;29062.6247;207.958072;29062.6247;207.95559;29062.6247;207.992939;29062.6247;208.019772
29062.8005;207.943041;29062.8005;207.981496;29062.8005;208.001649;29062.8005;207.995433;29062.8005;207.964014;29062.8005;207.945441;29062.8005;207.943201;29062.8005;207.980063;29062.8005;208.006704
29074.2247;207.410591;29074.2247;207.483668;29074.2247;207.632008;29074.2247;207.700588;29074.2247;207.582899;29074.2247;207.500285;29074.2247;207.451636;29074.2247;207.551328;29074.2247;207.590601
29426.2867;207.98887;29426.2867;208.031234;29426.2867;208.058551;29426.2867;208.0554;29426.2867;208.018476;29426.2867;207.995865;29426.2867;207.991159;29426.2867;208.033079;29426.2867;208.06174
29426.2867;207.988869;29426.2867;208.031233;29426.2867;208.05855;29426.2867;208.055399;29426.2867;208.018474;29426.2867;207.995864;29426.2867;207.991158;29426.2867;208.033077;29426.2867;208.061739
29426.4625;207.977009;29426.4625;208.019007;29426.4625;208.04564;29426.4625;208.042194;29426.4625;208.005788;29426.4625;207.983561;29426.4625;207.979092;29426.4625;208.020535;29426.4625;208.049009
29437.8867;207.397267;29437.8867;207.462491;29437.8867;207.584722;29437.8867;207.638637;29437.8867;207.538368;29437.8867;207.468908;29437.8867;207.429811;29437.8867;207.516136;29437.8867;207.552482
29788.2053;207.933833;29788.2053;207.979347;29788.2053;208.014254;29788.2053;208.014884;29788.2053;207.972756;29788.2053;207.946136;29788.2053;207.938621;29788.2053;207.985069;29788.2053;208.015093
29788.2053;207.933832;29788.2053;207.979346;29788.2053;208.014253;29788.2053;208.014882;29788.2053;207.972755;29788.2053;207.946135;29788.2053;207.93862;29788.2053;207.985068;29788.2053;208.015092
29788.3811;207.922599;29788.3811;207.967764;29788.3811;208.002023;29788.3811;208.002373;29788.3811;207.960736;29788.3811;207.93448;29788.3811;207.927191;29788.3811;207.973187;29788.3811;208.003033
29799.8053;207.329287;29799.8053;207.388712;29799.8053;207.491762;29799.8053;207.534874;29799.8053;207.447761;29799.8053;207.38802;29799.8053;207.355786;29799.8053;207.432206;29799.8053;207.466241
30148.365;207.867841;30148.365;207.916683;30148.365;207.95912;30148.365;207.963389;30148.365;207.91595;30148.365;207.885296;30148.365;207.875045;30148.365;207.926161;30148.365;207.957705
30148.3651;207.86784;30148.3651;207.916682;30148.3651;207.959119;30148.3651;207.963387;30148.3651;207.915949;30148.3651;207.885295;30148.3651;207.875044;30148.3651;207.92616;30148.3651;207.957704
30148.5408;207.857207;30148.5408;207.905719;30148.5408;207.947542;30148.5408;207.951545;30148.5408;207.904572;30148.5408;207.874263;30148.5408;207.864227;30148.5408;207.914913;30148.5408;207.946289
30159.9651;207.267561;30159.9651;207.3245;30159.9651;207.417127;30159.9651;207.453982;30159.9651;207.373864;30159.9651;207.319259;30159.9651;207.290768;30159.9651;207.36232;30159.9651;207.395494
30506.8096;207.80188;30506.8096;207.853467;30506.8096;207.901999;30506.8096;207.909187;30506.8096;207.857423;30506.8096;207.82349;30506.8096;207.811031;30506.8096;207.865966;30506.8096;207.89878
30506.8096;207.801879;30506.8096;207.853466;30506.8096;207.901998;30506.8096;207.909186;30506.8096;207.857422;30506.8096;207.823489;30506.8096;207.81103;30506.8096;207.865965;30506.8096;207.898779
30506.9854;207.791747;30506.9854;207.843018;30506.9854;207.890962;30506.9854;207.897896;30506.9854;207.846578;30506.9854;207.812975;30506.9854;207.800721;30506.9854;207.855245;30506.9854;207.887898
30518.4096;207.201424;30518.4096;207.255416;30518.4096;207.336559;30518.4096;207.366622;30518.4096;207.294282;30518.4096;207.245391;30518.4096;207.221016;30518.4096;207.287038;30518.4096;207.319146
30863.5211;207.73904;30863.5211;207.793559;30863.5211;207.848981;30863.5211;207.85956;30863.5211;207.803031;30863.5211;207.765441;30863.5211;207.750444;30863.5211;207.809548;30863.5211;207.843659
30863.5211;207.739039;30863.5211;207.793558;30863.5211;207.84898;30863.5211;207.859559;30863.5211;207.80303;30863.5211;207.76544;30863.5211;207.750443;30863.5211;207.809547;30863.5211;207.843658
30863.6968;207.729464;30863.6968;207.783684;30863.6968;207.838549;30863.6968;207.848886;30863.6968;207.79278;30863.6968;207.755503;30863.6968;207.740699;30863.6968;207.799415;30863.6968;207.833374
30875.1211;207.151048;30875.1211;207.203966;30875.1211;207.278996;30875.1211;207.305139;30875.1211;207.236956;30875.1211;207.191019;30875.1211;207.168784;30875.1211;207.232217;30875.1211;207.264008
